text,label
“Libreng Pabahay 2023 TANDAAN: LIBRE AT WALANG BABAYARAN KAHIT PISO (Free Housing 2023 REMEMBER: FREE AND WITHOUT ANY PAYMENT NOT A SINGLE PESO).” ,FAKE
“SPECIAL REPORT: Manny Pacquiao’s Latest Investment Has Experts in Awe And Big Banks Terrified.”,FAKE
"“2 SUPER TYPHOON, NAKAPASOK NA SA BANSA! SOBRANG LAKAS (Two super typhoons have entered the country! So strong) | LATEST WEATHER UPDATE! AUGUST 7, 2023.” ",FAKE
"“Matapos ang cleaning ng blood vessels, finally naalis na ng matatanda ang high blood pressure at 9 pang supposedly na “incurable” na sakit! (After cleaning the blood vessels, elders finally got rid of high blood pressure and nine more supposedly incurable diseases!)”",FAKE
"“Walang time pumila, ayaw ma – hassle at mapagod sa pagkuha ng V A L I D  ID? Luma na ang yellow card at gusto ma palitan ng N E W GREEN WITH QR C O D E. UPGRADE NA!” (No time to fall in line? Don’t want to be hassled and tired to get a valid ID? The yellow [TIN] card is now old and you want to replace it with a new green one with a QR code. Update now!) ",FAKE
"“Pasensya na sa mga Pinoy na pasyente na bumili ng FAKE Barley Grass Powder sa shopee | ang produkto ay HINDI ipinamamahagi sa pamamagitan ng mga e-commerce platform: Shopee, lazada, … sa totoong link na ito.” (Apologies to Filipino patients who bought FAKE Barley Grass Powder on Shopee | This product is NOT distributed through e-commerce platforms [like] Shopee, Lazada [but] through this legitimate link.) ",FAKE
“FAKE!!! HUWAG KAYONG BUMILI NG Glufarelin Milk!!! Baka malason kayo (Fake! Don’t buy Glufarelin milk! You might get poisoned)!”,FAKE
"“Mga convicted, plunderer, ano’ng mangyayari sa atin? Eh kawawa kayo eh lalo kayong babagsak. Ano’ng gagawin ni Robin Padilla, ni Lito Lapid, ni Bong Revilla, ni Jinggoy Estrada. Aba, susmaryosep! Aba’y nasisiraan na yata ng ulo ang Pilipinas!“([They] are convicts and plunderers, what will happen to us? You are pitiful and you will fall even more. What will Robin Padilla, Lito Lapid, Bong Revilla, Jinggoy Estrada do?) (Let out an expression of frustration – The Philippines seems to have lost its mind!)",FAKE
“ALAMIN! Bagong Programa Ng DSWD 3K Per Month Ipamimigay Bukod Pa Sa 4PS PAANO MAGPALISTA? CLICK NIYO LANG ITONG LINK AT MAGPA REGISTER (FIND OUT! DSWD’s New Program 3K Per Month Will Be Given Apart From 4PS HOW TO REGISTER? JUST CLICK THIS LINK AND REGISTER).”,FAKE
"“We want to inform you about an important update regarding the upcoming September 2023 LET exam. Taking into consideration the feedback and ratings from the previous exam, we have made adjustments to ensure a more favorable experience for everyone. In response to the low ratings received, we have decided to make the next exam easier in comparison.” ",FAKE
“May existing # kana ba? At yellow parin ang T I N   I D mo. Mag-upgrade kana sa G R E E N   C A R D  with Q R  C O D E. NO RE QUIRE MENTS NEEDED.FREE DELIVERY and CASH ON DELIVERY narin po. L E G I T. Kami napo bahala magprocess. Issued directly sa B I R.(Do you already have a TIN? And you still have a yellow TIN ID? Upgrade to a green TIN card with a QR code. No requirements needed. Free delivery and it’s also cash on delivery. Legit. We’ll take care of the processing. Issued directly by the BIR.)”,FAKE
“Uncover ang Hiwaga ng Kagandahan mula sa mga madre ng Monasteryo ng Santa Clara sa Pasig: Paano ang kanilang natatanging produkto ay tumutulong sa mga kababaihan na labanan ang pagtanda.” (Uncover the magic of beauty from the nuns of the Monastery of Sta. Clara in Pasig: How their unique product helps women to fight aging.) ,FAKE
"“Mga kababayan, ngayon po ay June 16, 2023. Ako po ay buhay na buhay at nakikita ninyo. Kaya huwag po maniwala diyan sa mga balita na ako po ay pumanaw na.”  (My countrymen, today is June 16, 2023. I am very much alive, and you can see me. So don’t believe the rumors saying that I passed away.)",FAKE
"“OPEN sa LAHAT 18-60 yrs old. First 100 na mag-HOW bibigyan TRY LANG WALA NAMANG MAWAWALA SAYO. 💙😊 #LegitSince2006 E pm MO Ako Asap 😇 PM ME PO” (Open to all 18 to 60-year-olds. [The] first 100 who [comment] HOW will win. Just try, you won’t lose anything. #LegitSince2006. Send me a PM [private message] ASAP, please PM me.)",FAKE
"“Our learners in DepEd do not exactly need quality education, they only need basic education. Most of them will go in [sic] abroad and become Domestic Helpers, Nurses or Construction workers. Besides, DepEd does not have the budget to provide the same quality education as being provided by private schools.” ",FAKE
“SMART ENERGY POWER SAVING DEVICE NAPATUNAYANG EPEKTIBO AYON SA DOE (SMART ENERGY POWER SAVING DEVICE PROVEN TO BE EFFECTIVE ACCORDING TO DOE).”  ,FAKE
"“DepEd teachers who find their issued laptop to be slow or not in accordance with the latest specifications should return it and buy their own laptop. If they can not be thankful, the least that they can do is SHUT UP.”",FAKE
"“ATTENTION. Tinatawagan ang lahat ng mga naka REGISTER na ng SIM CARD, kunin nyo na ang 5k Ayuda MAG FILL UP SA LINK PARA MAIPADALA NA (Calling everyone who already REGISTERED their SIM CARD, get your 5k Cash assistance FILL OUT IN THE LINK FOR IT TO BE DELIVERED).” ",FAKE
“Ganyan dapat! Pilipinas rumesbak at pinaputukan umano ang mga Chinese fishing vessel sa WPS. (That’s how it should be! Philippines retaliated and fired at Chinese fishing vessels on the West Philippine Sea.)”,FAKE
“Genius student from Manila wanted for justice because of the creation of a fat burner that helps you lose 27 kilograms in 30 days!”,FAKE
"“[T]he Japanese Institute of Biological Research has introduced [a product] to kill insects, bugs, yellow flies, red spiders, snails to protect plants completely with natural herbs.”",FAKE
"“Upang ipagdiwang ang kaarawan ng @Robinsons Supermarket, padadalhan ka namin ng Custom na Gift Bag. Sa lahat ng sumulat ng “Love Robinsons Supermarket” bago ang April 25, 2023. Good luck 🎁”(To celebrate the anniversary of Robinsons Supermarket, we will give a custom gift bag to everyone who writes ‘Love Robinsons Supermarket’ before April 25, 2023. Good luck.)",FAKE
“Mawawala na ang diabetes para sa siempre. Gawin ito bago matulog (Diabetes will go away. Do this before sleeping).”,FAKE
"“Most men’s concern want to have a big and healthy “𝐥𝐢𝐭𝐭𝐥𝐞 𝐛𝐨𝐲” !😎As a doctor, the 𝐬𝐞𝐱𝐮𝐚𝐥 𝐡𝐞𝐚𝐥𝐭𝐡 of Filipino men is my top priority. I always recommend this Magnetic Under.wear (sic), recommended by the 𝐉𝐚𝐩𝐚𝐧 𝐈𝐧𝐬𝐭𝐢𝐭𝐮𝐭𝐞 𝐨𝐟 𝐒𝐞𝐱𝐮𝐚𝐥 𝐇𝐞𝐚𝐥𝐭𝐡”“Good news for all Filipino men. Increase Size 5-6 c.m More & Solid Like A Rock. Easily with Magnetic Underwear imported from USA (sic)”",FAKE
“NAKIKIRAMAY! ʀᴀғғʏ TULFO SAKSI SA PAGPANAW NI KRIS AQUINO NGAYONG HAPON! STAGE 5 CANCER ANG DAHILAN (Condolences! Raffy Tulfo witnessed Kris Aquino’s death this afternoon! Stage 5 cancer caused [her death]!”,FAKE
"“Ikinalulugod kong ipaalam sa iyo na nag-donate kami ng 500 refrigerator na hindi namin naibenta dahil sa mga gasgas at maliit na pinsala.,. kaya ang sinumang magsusulat ng ‘Tapos na’ bago ang Pebrero 28 ay ipapadala nang random (We’re happy to inform you that we donated 500 refrigerators we weren’t able to sell because of scratches and minor damages… anyone who types ‘Done’ before 28 will randomly receive [a refrigerator]).” ",FAKE
"“As a dermatologist doctor, I really want Fillipino (sic) women to have healthy, youthful skin and always loved by husband. Korea’s leading cosmetic experts have researched the product Sammi Egg Essence Mask that can help smooth, firm and even skin tone, can be used for both pregnant women and people with extreme skin sensitive period.” ",FAKE
“OMG! BAGONG PERA NG PILIPINAS INILABAS NA (NEW BANKNOTES OF THE PHILIPPINES NOW RELEASED)! NEW PHILIPPINE BANK NOTES AND COINS.” ,FAKE
“Iskandalo sa studio! Itinago nila ang pangunahing lunas para sa presyon mula sa mga pasyenteng hypertensive! Sila pala (Scandal in the studio! They concealed the primary cure for hypertension from hypertensive patients! They are)…” ,FAKE
"“Research on thousands of people who have successfully regained their shape, lσst mαny k.g in a short time and improved their health effects after eating MEIZOU Chia seeds. The product has been approved by the FྂDA (sic) as safe and good for health.” ",FAKE
“KRIS AQUINO NAG COLLAPSE SA LAMAY NI JOVIT BALDIVINO! PUMANAW NA (KRIS AQUINO COLLAPSED DURING JOVIT BALDIVINO’S WAKE! [SHE] HAS PASSED AWAY)! ACTUAL FULL VIDEO NAKUHA SA LAMAY (TAKEN FROM THE WAKE)! Thank (sic) For Watching.”,FAKE
"“MAY KUMAKALAT NGAYON NA NAMIMIGAY DAW NG VITAMINS PERO ANG LAMAN NG VITAMINS AY VETSIN.. TANDAAN NYO PO KUNG MAY MAMIMIGAY NG VITAMINS  MAS MABUTING SURIIN MUNA BAGO ITO INUMIN”(Rumors are spreading that vitamins being given away actually contain vetsin. If someone gives you vitamins, remember to check before consuming it.)",FAKE
“Kaya siya nanalo kasi natalo ako (He won because I lost). (He won because of the massive disinformation against me).” ,FAKE
"“GRABE! UNANG GABI NG LAMAY SA BUROL NI KRIS AQUINO DINAGSA NG MGA TAO, KAIBIGAN AT KAMAG-ANAK (SEVERE! FIRST NIGHT OF KRIS AQUINO’S WAKE FLOCKED BY PEOPLE, FRIENDS AND RELATIVES).”",FAKE
“BREAKING NEWS! BANGKAY NI KRIS AQUINO PABALIK NA SA BANSA | Kris Aquino Pumanaw Na (Kris Aquino’s corpse headed back to the country | Kris Aquino has passed away)!”,FAKE
“Tragedy of stampede in Korea was repeated in the Pilipinas (Philippines). It is now estimated that 28 people have been injured and fainted…Rescue crews received at least 61 calls from residents in Pasay City saying they were having trouble breathing.”,FAKE
"“Ang lotus root powder ay… may epekto ng pagpigil sa labis na timbang, labis na katabaan, pagtatae, mga digestive disorder na dulot ng bakterya, pagbabawas ng kolesterol sa dugo.” (Lotus root powder has… an effect in stopping excess weight, excess fat, diarrhea, digestive orders caused by bacteria, [and] reducing blood cholesterol.)",FAKE
"“Naging magulo kahapon ang mall nang pumila ang libu-libong tao para bumili ng aircon sa panahon ng 50% off sale at buy 1 get 1 (Things became messy at the mall yesterday when thousands of people lined up to buy an aircon during a buy one, get one, 50% off sale.)”",FAKE
"“Kumbinsido kami na majority ng mga Pilipino ay suportado ang pagbabalik ng mandatory ROTC. Kapag tinanong ang mga Pilipino kung suportado nila ang isang programa na magsusulong ng nasyunalismo, disiplina at kahandaan sa sakuna, sino ang aayaw? Gusto ng mga kababayan natin ang mga iyan lalo na ang ROTC. Magkaisa tayong suportahan ito.”  (We are convinced that the majority of Filipinos support the return of mandatory ROTC. If you ask Filipinos if they support a program that supports nationalism, discipline, and disaster preparedness, who will say no? Our fellow citizens would like that, especially ROTC. Let’s help each other and support it.)",FAKE
"“Bagong bago!!!, Simulan nyo na habang konti palang, (sic) nakaka alam P10,000 Ayuda on GCash, PM me for details, and free giveaway for everyone PM me how., (sic) While others are complaining, remember opportunity comes but once so be the one to tell others about it. Start it while only few know it., (sic) PM me po Legit.”(New!!! Start now while only a few know P10,000 ayuda on GCash, PM me for details, and free giveaway for everyone PM me how., (sic) PM me Legit.)",FAKE
“LOOK: The hashtag #LetSaraLead has topped Philippine Twitter trends as of 11PM on Monday after former BBM supporters called for Pres. Bongbong Marcos Jr. to resign over ‘broken promises.’‘Magparty ka na lang’ and #BBMResign are also among the trending topics.”,FAKE
"“Shocking information!! Dozens of ambulances from the Philippine General Hospital in the capital Manila were present at the Mall of Asia Arena to treat hundreds of people who had to faint because of waiting in line for 3 days here, leading to lack of oxygen.”",FAKE
"“If u find any child crying on road showing his/her address n asking u to take him/her to that address, take that child to police station n plz don’t take it to that address. IT IS A NEW WAY OF GANGS TO STEAL, RAPE and KIDNAP GIRLS (sic).”",FAKE
"“Masakit at di kumportable ang may almoranas. HEMOCARE lang ang mairerekomenda dyan wala ng iba. Maaaring mauwi sa colon cancer pag di naagapan kaya dapat agad yang solusyunan.”(Hemorrhoids are painful and uncomfortable. I only recommend using Hemocare and nothing else. It may lead to colon cancer, so it needs immediate treatment.)",FAKE
"“The Palembang massacre was fake, no such massacre. Invented to get compensation from ‘Human Rights Victims compensation act’.”Source: Bobi Tiglao Official Facebook Profile (comment), “The Palembang…” (archive),  May 4, 2022",FAKE
"“What is unity if your people have no moral values? Halimbawa, ‘yung kapitbahay mo ay tax evader, tumakbong presidente, binoto mo. Anong klaseng tao ka?(For example, your neighbor who is a tax evader ran for president, and you voted for them. What kind of person are you?)",FAKE
"“May mga nagsusulong ng pederalismo sa ating bansa, samantala ang awtonomiya ni hindi pa nga lubusang naibibigay talaga sa mga lokal na pamahalaan. (There are people pushing for federalism in the country when local governments have not even been given full autonomy). Question: … Is this enough for you to actually push for federalism or that’s jumping way ahead? Escudero: That’s jumping way, way ahead … l’ll try to answer briefly without being, say, that I’m opposed to it. Our closest experiment to federalism is CAR — Cordillera [Administrative] Region and BARMM [Bangsamoro Autonomous Region in Muslim Mindanao]. These are the two autonomous regions found in our Constitution. Cordillera hasn’t even been implemented yet. It lost in two or three plebiscites. BARMM, up to last term, we were still trying to perfect it. If we haven’t even perfected autonomy or the closest to federalism in these two regions, [which] remain to be the poorest regions in our country, why will we experiment on it in all of the regions of the country?” Source: ABS-CBN News official YouTube channel, Dateline Philippines | ANC (6 June 2022), June 6, 2022, watch from 21:56 to 22:55",INACCURATE
“Hala Gobyerno BABAWIIN NA ang LUPANG INANGKIN ni SENIOR AGILA DENR AT SUNDALO PINALULUSOB sa SBSI (Oh no. The government will now take back the land claimed by Senior Agila. The DENR and army were ordered to charge into SBSI).”,MISLEADING
"“The Office of the President maintains respect for the commemoration of the EDSA People Power Revolution. However, it was not included in the list of special non-working days for the year 2024 because February 25 falls on a Sunday. There is minimal socio-economic impact in declaring this day as a special non-working holiday since it coincides with the rest day for most workers and laborers.”",MISLEADING
“Seryoso na ang Pangulo 20 Pesos na Bigas malapit na Tapos na ang mga araw niyo mga Smuggler ng Bigas (The president is serious. P20-per-kilo rice is near. The days of rice smugglers are numbered.)”,MISLEADING
“Price of rice in [the] world market plummets by 21 percent following [the] price ceiling”,MISLEADING
"“China, Naghahamon na nga ba talaga? [N]agpakita ng pwersa at Nagpaputok Ng Ibat (sic) Ibang Mga Missiles Sa South China Sea… (Is China really looking for trouble? China’s forces appeared on the South China Sea (SCS) and fired missiles)”",MISLEADING
“Ang mga frigate ng Russia na napadaan sa Taiwan ay ang mga barko ng Russian Pacific Fleet na pumasok sa timog na bahagi ng karagatan ng Pilipinas upang magsagawa ng mga gawain bilang bahagi ng isang long-range sea passage.” (The Russian frigates that passed by Taiwan are ships of the Russian Pacific Fleet that entered the southern part of the Philippine Sea to conduct activities as part of a long-range sea passage.),MISLEADING
“Wow! PBBM walang natanggap na kahit magkanong sweldo at allowance (Marcos did not accept any salary or allowance)?”,MISLEADING
"“Grabi (sic) ang ginawa ni bagyong igay (sic) sa china, tapos paparating pa sa kanila ngayon si bagyong falcon (What Typhoon Egay has done to China is so severe. And Typhoon Falcon is also coming their way now)”.",MISLEADING
"“Napatunayan natin na kayang maipababa ang presyo ng bigas, karne, isda, gulay at asukal. Malaking tulong ang Kadiwa Store na ating muling binuhay at inilunsad.” (We have proven that we can lower the prices of rice, meat, fish, vegetables and sugar. The Kadiwa Store that we have revived and established helped a lot.)",MISLEADING
"“Tinawag na lutang ni Risa Hontiveros si PBBM sa kanyang press release tungkol sa Maharlika fund (In a press release about the Maharlika fund, [Sen.] Risa Hontiveros called [Marcos] spaced out). ” ",MISLEADING
"“KINAWAWA ANG CHINA! 10,000 Sundalong Tsino At 150 Na Fighter Jets SINAWING PALAD SA TAIWAN (China tormented! 10,000 Chinese soldiers and 150 fighter jets were unfortunate in Taiwan)!” ",MISLEADING
"“Napapanindigan natin ‘yung mga pangalan na ‘yon at saka wala namang – wala tayong nilalabag na batas doon.”(We stand by those names and we are not violating any laws by doing that.) Source: SMNI Youtube Channel, LIVE: Laban Kasama ang Bayan, May 3, 2023, watch from 16:21 to 16:26",MISLEADING
"“KAKAPASOK LANG SENADO NASHOCKED sa NATUKLASAN at UTOS ni RAFFY TULFO PBBM sa PCSO mga BUWAYA IYAK NA (Just in. The Senate was shocked at the discovery and order of Tulfo, Marcos on PCSO. Corrupt officials cry).”",MISLEADING
"“Breaking news! Pilipinas, magkaka-nuclear na! Biden, nakaplano na ang uumpisahang deal kasama si President Ferdinand Marcos Jr. tungkol sa itatayong nuclear facility sa Pilipinas (The Philippines will now have nuclear [energy]! [U.S. President Joe] Biden has planned a deal with President Ferdinand Marcos Jr. about a nuclear facility to be built in the Philippines)!”",MISLEADING
“GOOD NEWS AGE 40 PATAAS PWEDE NA MAGPENSYON (AGE 40 AND ABOVE CAN NOW RECEIVE PENSION) WOW PINAKAMALAKING BANGKO SA PILIPINAS PBBM BINUBUO NA (PBBM IS NOW CREATING THE BIGGEST BANK IN THE PHILIPPINES) Live Today.” ,MISLEADING
“…the United States will send an aircraft carrier battle group supported by air assets and missile defense that are joined by partner naval and air forces to the SCS to cooperatively monitor the Chinese naval threat and other emergent threats to freedom of navigation.”,MISLEADING
"“Mas mababa ng 16% ang ating inutang para sa 2022 kumpara sa taong 2021! Patunay ito na epektibo ang ating mga polisiya sa pangangasiwa ng ating budget at pagpapababa ng pagdepende natin sa utang para matugunan ang mga pangangailangan natin sa bansa.”(We borrowed 16% less in 2022 compared to 2021! This proves the effectiveness of our administration’s policies in budget management and reducing our dependence on foreign loans to meet the country’s needs.) Source: Bongbong Marcos official Facebook page, Mas mababa ng 16% ang ating inutang…, March 13, 2023",MISLEADING
"“Sa wakas approved na ang divorce | Sa nga (sic) gustong makawala jan magdiwang na tayo | Ang tagal ko tong hinintay finally (Finally, divorce is approved | To those who want to be free, let’s celebrate | I’ve waited so long for this, finally).”",MISLEADING
"“As I have pointed out in Senate Resolution No. 492, our domestic institutions are fully functional and more than capable to address the concerns raised by the Prosecutor of the ICC Karim A. A. Khan QC and our government formally conveyed this to the ICC in a letter dated November 10, 2021. Our Department of Justice and the Philippine National Police-Internal Affairs Service have in fact investigated the alleged crimes committed between July 1, 2016 to March 16, 2019 under the so-called war on drugs campaign and such effort resulted in the filing of four criminal cases before the courts.” Source: Senate of the Philippines, SENATOR JINGGOY EJERCITO ESTRADA’S RESPONSE TO QUERY ON HIS DECISION TO FILE SRN 492, Feb. 21, 2023",MISLEADING
“HALA! NLRC GUSTO IPATANGGAL SA SENADO SI SEN. TULFO | TAONG BAYAN MAG PEOPLE POWER DAW (Oh no! NLRC wants to Tulfo removed from the Senate | Masses to allegedly stage people power)?” ,MISLEADING
"“As I have said, they don’t have jurisdiction over us so I have no plans of cooperating with them.” Source: CNN Philippines official YouTube channel, Senator Bato Dela Rosa | The Source, Feb. 2, 2023, watch from 8:42 to 8:52",MISLEADING
"“Vaccination rate, as I said, will stabilize to way lower levels than the levels that we saw when we launched the product. So, first dose, 80%; second dose, 75%, right? So that’s the prime. Then in the booster, we went down to 50%, 60%. In the second booster, the fourth dose, we went down to 30%, as I said. I think we’ll stabilize somewhere there.This is not enough, because as the population is — as time passes, the population will be less immunized, less current. And as a result, the waves that will be coming will come in with higher — the clinical manifestation of these waves will be more severe disease and more hospitalization, basically. That will drive a higher level of treatment demand. So that on volumes, how we see that happening.”Source: Pfizer Inc. (PFE), 41st Annual J.P. Morgan Healthcare Conference (Transcript) (start at 29:21)",MISLEADING
“CONFIRM! PBBM PUPUNTA NG BELGIUM PARA MAKUHA ANG $987 BILYON NA YAMAN NI FEM PARA SA MGA PILIPINO (PBBM WILL GO TO BELGIUM TO GET FEM’s $987 BILLION WEALTH FOR THE FILIPINOS)!”,FALSE
“’Yung galit na galit ang mga #Dilawan at anti-gov leftists activists terrorists sa panukalang-batas na Maharlika Wealth Fund. Pero ang hindi nila alam eh mungkahi pa ‘yan nila panahon pa ni PGMA hanggang sa termino ni PRRD. Hindi nga lang naisabatas pa.(#Dilawans and anti-gov leftists are mad at the Maharlika Wealth Fund bill. But what they don’t know is that this has been proposed from the time of [former President Gloria Arroyo] to [former President Rodrigo Duterte]. It was just not enacted.),MISLEADING
“KAHAY0PAN NG D1LAWANG CARDINAL NADlSKUBRE | TAGLE KlNARMA SA PAGWALDAS NG PERA SINIPA NG SANTO PAPA (DEBAUCHERY OF YELLOW CARDINAL DISCOVERED | TAGLE GOT KARMA FOR WASTING MONEY KICKED OUT BY THE POPE)!”,MISLEADING
"“Lamang lang siya dahil nga may namatay. Pero hindi ko sinasabi, in fairness kay Gen. Bantag, hindi ko sinasabi na siya ang mastermind (He was prioritized [in the investigation] because someone died. But I am not saying, in fairness to Gen. Bantag, that he is the mastermind).” Source: SMNI News official Facebook page, PNP, walang naging pagkukulang sa imbestigasyon sa pagkamatay…, Oct. 31, 2022, timecode 07:14 to 07:20 (emphasis ours)",MISLEADING
"“Putin, Nais Magpatulong kay PBBM (Putin, wants to ask PBBM for help).” ",MISLEADING
"“I would like to make it clear that the arrest of my good friend Thirdee Remulla is UNLAWFUL. The evidence against him is weak, not that it is weak. The evidence is weak because there is a strong reason for Thirdee to possess a kilogram of high-grade marijuana. Thirdee has a medical condition which requires him to smoke or inhale marijuana. Having said that, Thirdee should be absolved of any wrongdoing.” ",MISLEADING
"“Red-tagging is the term used when a person belonging to a civil society organization is criticized for the work they’re doing as being related to the persons who commit criminal acts in our country.” Source: United Nations TV Geneva, 3919th Meeting, 136th Session, Human Rights Committee (CCPR), Oct. 10, 2022, watch from 2:27:35 to 2:27:56",MISLEADING
"“Kung darating ang sandali na aagawin nila ang pwesto kay Bongbong Marcos, aba’y kakampihan ko si Bongbong Marcos, ‘yan ang tandaan ninyo (If the time comes that they will seize the position from Bongbong Marcos, then I will side with Bongbong Marcos, that’s what you must remember).” ",MISLEADING
"“[T]he president is in constant touch with the economic team and they are closely monitoring this. As you know naman, the inflation rate isn’t due to any local factors; it’s really about the exchange rate.” Source: RTVMalacañang, Press Briefing of Press Secretary Trixie Cruz-Angeles 9/27/2022, Sept. 27, 2022, watch from 6:32 to 6:53",MISLEADING
“Nakakagulat…Biglaang pagkakasubpoena sa pangulo matapos niyang makabalik sa Palasyo ikinagulat…Plano siyang ikulong ng Senado!” (Shocking…sudden subpoena received by the president after returning to the Palace shocking…the Senate plans to imprison him!) ,MISLEADING
"“Nais din ng Armed Forces of the Philippines na tanggalin si Legarda at patawan ng karampatang parusa bilang isang reserve officer dahil sa malaking violation nito sa batas at maaaring isailalim pa ito sa court martial.”(The AFP wants to remove Legarda and mete out the punishment for her as a reserve officer for severely violating the law, and she might even undergo court martial.)",MISLEADING
"“Hindi kalaban ng pamahalaan ang Communist Party of the Philippines (CPP).  Ginagalang ko ang mga taga-CPP dahil sa magandang pananaw nito para sa bayan kahit na hindi ito nakalinya sa adhikain ng karamihan. Hindi dapat tawaging kalaban ang CPP.” (The CPP is not an enemy of the state. I respect the CPP because of its good vision for the nation, even though it is not in line with the goals of the majority. The CPP should not be called an enemy.)",MISLEADING
"“MATINDI TO! LENLEN IYAK TINULDU KAN na DIGONG Pres MARCOS EBDENSYA NILABAS na HEMAS REGAS (sic) (This is intense! Lenlen cries, she’s done for | Digong Pres Marcos released evidence | (going) behind bars)!”",MISLEADING
"“Clinical trial po ito. More than 10,000 pong mga kabataan ang sinaksakan dito. Napakababa po ng efficacy, 56% lang. At six out of 10 na sasaksakan mo ng Dengvaxia ay magsa-suffer ng severe adverse effects, anim out of 10.” (This was a clinical trial. More than 10,000 children were vaccinated. The efficacy was very low, just 56%. Six out of 10 who were vaccinated with Dengvaxia will suffer severe adverse effects, six out of 10.) Source: TeleRadyo, PAO binatikos ang panawagang gamitin ulit ang Dengvaxia sa kabila ng rising dengue cases, watch from 5:06 – 5:28",MISLEADING
"RUSH HOURS COMMUTERS IN PHILIPPINES, SOUTH KOREA AND JAPAN. Meanwhile in the Philippines, ayaw ng mahabang pila. Kawawa daw sabi ng mga alagad ni Santa Leni. (Rush hours commuters in Philippines, South Korea and Japan. Meanwhile in the Philippines, people don’t like long lines. Followers of Saint Leni say they are pitiful.)",MISLEADING
“LOOK! FORMER PRESIDENT DUTERTE SEEN OUTSIDE THEIR HOUSE IN DAVAO! Former President Duterte is seen outside [sic] their house in Davao like a normal citizen. People are amazed of how humble our former President is. He is outside to breath [sic] some fresh air. Enjoy your retirement FPRRD! Salamat sa 6 years (Thank you for the six years)!”,MISLEADING
