Post Title,Time Posted,Post Link,Image URL,Description,Classification,Quotes 1,Quotes 2,Quotes 3,Quotes 4,Quotes 5,Quotes 6,Quotes 7,Quotes 8,Quotes 9,Quotes 10,Quotes 11,Quotes 12,Quotes 13
"VERA FILES FACT CHECK: Bong Go did NOT say supporters of Robredo are ‘rich, elitists’",2021-11-26T18:29:00+00:00,https://verafiles.org/articles/vera-files-fact-check-bong-go-did-not-say-supporters-robredo,https://verafiles.org/wp-content/uploads/2216/37/112321-fake-go-kakampink-quote.png,There was nothing on the senator’s official social media pages that resembled the quote.,FAKE,"“Kung elitista’t mayaman ka, KAKAMPINK [supporter of Robredo] ka. Kung mahirap kang atat sa tunay na pagbabago, kasangga mo ako. Tapat na serbisyo ko ang kailangan mo. Kitakits sa 2022! (If you’re elitist and rich, you’re KAKAMPINK [supporter of Robredo]. If you’re poor and in a hurry for real change, I’m your guy. What you need is my honest service. See you in 2022!)”",,,,,,,,,,,,
"VERA FILES FACT CHECK: Pro-BBM netizen, groups spread FAKE caravan photo of Robredo",2021-12-07T16:00:00+00:00,https://verafiles.org/articles/vera-files-fact-check-pro-bbm-netizen-groups-spread-fake-car,https://verafiles.org/wp-content/uploads/6116/38/120621-fake-leni-caravan-nazareno.png,The original photo shows devotees of the Black Nazarene crossing the Jones Bridge in Manila.,FAKE,“obviously done to put (them) in a bad light.”,“Caravan ni Ma’am Leni Dinumog (Ma’am Leni’s caravan was mobbed).”,,,,,,,,,,,
"VERA FILES FACT CHECK: This is a 2018 video shot in Malaysia, NOT a pro-Marcos rally",2021-12-08T16:13:00+00:00,https://verafiles.org/articles/vera-files-fact-check-2018-video-shot-malaysia-not-pro-marco,https://verafiles.org/wp-content/uploads/2516/38/120621-fake-pro-marcos-gathering.png,"The fake clip was shared from a Dec. 1 post of Facebook (FB) page BBM for President. It bore TikTok’s watermark and was originally uploaded by user mbfcel, but said copy had been taken down.",FAKE,,,,,,,,,,,,,
"VERA FILES FACT CHECK: FB pages, netizens spread FAKE anti-Marcos quote card of Laoag mayor",2021-12-16T01:10:00+00:00,https://verafiles.org/articles/vera-files-fact-check-fb-pages-netizens-spread-fake-anti-mar,https://verafiles.org/wp-content/uploads/9016/39/121321-fake-marcos-cousin-quote.png,No official record or news report reflects such a remark by Keon.,FAKE,"“It’s ironic that my cousins – Bongbong and Imee are very fond of using the word ‘unity,’ when they themselves can not unite our family. Unity only applies to them when you bow down to their wishes and caprices. I can not by principle endorse Bongbong as a President nor his son Sandro as Congressman for the 1st District of Ilocos Norte. They are both fraudsters, who do not possess intellectual nor leadership skills. They do not know hard work, that’s why they never achieved anything in their lives.”",,,,,,,,,,,,
VERA FILES FACT CHECK: This P500 banknote design featuring a tarsier is FAKE,2021-12-17T22:47:00+00:00,https://verafiles.org/articles/vera-files-fact-check-p500-banknote-design-featuring-tarsier,https://verafiles.org/wp-content/uploads/6816/39/121521-fake-new-p500-banknote-_web-copy.png,"An officer from the Bangko Sentral ng Pilipinas said the circulating banknote design was ""edited.""",FAKE,"“Since the theme is flora and fauna, pwedeng flower (it can be a flower), let’s say sampaguita… The BSP does not know yet the design of other denominations,”","“Walang P500 na ang nakalagay ay tarsier.. It’s not true talaga. Inedit nila ‘yan (There’s no P500 bill featuring a tarsier… It’s really not true. They edited that),”",,,,,,,,,,,
VERA FILES FACT CHECK: Alert Level 3 NOT raised in 30 areas,2022-01-06T19:04:00+00:00,https://verafiles.org/articles/vera-files-fact-check-alert-level-3-not-raised-30-areas,https://verafiles.org/wp-content/uploads/3616/41/010622_FAKE_Alert_Level_3_areas_WEB.png,This post is fake. Don't believe it.,FAKE,,,,,,,,,,,,,
VERA FILES FACT CHECK: Robredo DID NOT say Duterte will declare martial law,2022-01-13T15:51:00+00:00,https://verafiles.org/articles/vera-files-fact-check-robredo-did-not-say-duterte-will-decla,https://verafiles.org/wp-content/uploads/2716/42/011222_FAKE_Robredo_fake_voice_WEB.png,The original video showing Robredo talking behind a face mask is spliced with audio of an unidentified woman’s voice.,FAKE,"“While we were having our cabinet meeting, a voice clip of a woman spread around yesterday, saying there will be a total lockdown and martial law. This is fake news,”",“MaMa LEni Nyo Nagkakalat na ng FAKENEWS. Ito ba ang gusto nyo Leader mukhang DESPERADA na ah? #thevoice (Leni’s spreading fake news. Is this the leader you want? She looks desperate.)”,,,,,,,,,,,
VERA FILES FACT CHECK: Robredo quote on ‘widening pipes to solve water crisis’ is FAKE,2022-01-20T03:57:00+00:00,https://verafiles.org/articles/vera-files-fact-check-robredo-quote-widening-pipes-solve-wat,https://verafiles.org/wp-content/uploads/5416/42/012022_FAKE_Robredo_pipe_WEB.png,The fabricated graphic first appeared in April 2019 and was revived this January.,FAKE,"“Kulang tayo sa tubig. Ang tubig kasi dumadaloy yan sa mga tubo papunta sa mga kabahayan, maaring yung size ng tubo ang dahilan. Makakatulong siguro sa supply ng tubig ay yung lakihan natin yung mga tubo o gripo sa mga bahay. Imbis na ½ inch ang liit ng tubo, gawin nating 12 inches ang luwang ang laki. diba para mas maraming tubig ang dumaloy.”",,,,,,,,,,,,
VERA FILES FACT CHECK: New Zealand PM DID NOT express support for Marcos Jr.,2022-01-21T21:09:00+00:00,https://verafiles.org/articles/vera-files-fact-check-new-zealand-pm-did-not-express-support,https://verafiles.org/wp-content/uploads/3816/42/011922_FAKE_NZ_PM_on_BBM_web.png,"Neither has she encouraged the former senator to ""file a case"" against oligarchs ""destroying his name and reputation.""",FAKE,“did not make that comment and the post is clearly fake.”,"“I am impressed on (sic) how BBM will lead his country. He could easily pay the debts of his country and lend gold to other nations. He is the solution to every crisis the world faces. If I am the Philippine’s (sic) president, I am willing to give my position to him. Sadly oligarchs are destroying his name and reputation. He should file a case like swindling to teach them a lesson.”",“destroying his name and reputation.”,,,,,,,,,,
"VERA FILES FACT CHECK: FAKE giveaway uses name of Sen. Pacquiao, Landbank",2022-01-26T13:14:00+00:00,https://verafiles.org/articles/vera-files-fact-check-fake-giveaway-uses-name-sen-pacquiao-l,https://verafiles.org/wp-content/uploads/6716/43/012122_FAKE_Pacquiao_Landbank_scam_WEB_copy.png,"The fraudulent post claimed that Sen. Pacquiao would send P30,000 as business capital through the state-owned LandBank.",FAKE,"“Senator Pacquiao has no partnership with LANDBANK to provide any financial assistance… The post and the page you have provided is not legitimate,”",,,,,,,,,,,,
VERA FILES FACT CHECK: Kris Aquino is ALIVE,2022-01-27T12:40:00+00:00,https://verafiles.org/articles/vera-files-fact-check-kris-aquino-alive,https://verafiles.org/wp-content/uploads/9316/43/012422_FAKE_Kris_Aquino_death_hoax_WEB_copy.png,The celebrity herself debunked the hoax on Jan. 24.,FAKE,"“Doctor ni Kris, INAMING KRITIKAL ang nangyari bago mabawian ng buhay si Kris (Doctor admitted Kris Aquino was in a critical condition before she died)!”","“It’s been disturbing that since Friday (Jan. 21) so many have been spreading fake news about me being either in St Luke’s BGC or the States but always with the same theme, that I’m in the ICU and in critical condition. NONE OF THAT IS TRUE,”",,,,,,,,,,,
VERA FILES FACT CHECK: Cynthia Villar DID NOT take a swipe at Robredo with ‘ABS-CBN buyout’ statement,2022-01-28T20:41:00+00:00,https://verafiles.org/articles/vera-files-fact-check-cynthia-villar-did-not-take-swipe-robr,https://verafiles.org/wp-content/uploads/2316/43/012722_FAKE_Cynthia_Villar_18_hours_WEB_REV.png,This post is fake. Don't believe it.,FAKE,"“Eh, ano ngayon kung bilhin namin ang ABS-CBN. May pera naman kami. Nag susumikap kami sa trabaho. Yung iba jan [sic], 18 hours daw, pero wala ka makita kahit isang eyebag. Ano siya Robot (So what if we buy ABS-CBN? We have the money. We work hard at our jobs. Some people, they say they work 18 hours, but we don’t even see an eye bag. Are they a Robot)?”",,,,,,,,,,,,
"VERA FILES FACT CHECK: Ameera Nasir Khalifa NOT a Saudi princess, not a Marcos supporter",2022-01-31T13:51:00+00:00,https://verafiles.org/articles/vera-files-fact-check-ameera-nasir-khalifa-not-saudi-princes,https://verafiles.org/wp-content/uploads/1716/43/012822_FAKE_Saudi_princess_praises_Bongbong_WEB_copy.jpg,A quote card showing a fictional Saudi princess allegedly praising presidential aspirant Ferdinand “Bongbong” Marcos Jr was shared on Facebook. This is fake.,FAKE,"“I, the Princess of Saudi, would like to express my support to Bongbong Marcos because he is a visionary leader. I hope someday I will met [sic] him. His bashers are the worst citizens in his country.”",,,,,,,,,,,,
VERA FILES FACT CHECK: ALTERED image shows Robredo endorsing Marcos Jr.,2022-02-04T22:44:00+00:00,https://verafiles.org/articles/vera-files-fact-check-altered-image-shows-robredo-endorsing,https://verafiles.org/wp-content/uploads/8316/43/010222_FAKE_Leni_for_Marcos_Jr._web.png,The circulating image is an altered copy of a screenshot from a January 2020 video uploaded on Robredo’s official Facebook page,FAKE,"“Number one sinungaling. Pangalawa, in the difficult moments, hindi siya nagpapakita (Number one, [he is] a liar. Second, in the difficult moments, he does not show up).”","“Tama yan inay (That’s right, mother)”",,,,,,,,,,,
VERA FILES FACT CHECK: Reuters did NOT call Robredo a ‘liar’ in drug war statement,2022-02-07T11:28:00+00:00,https://verafiles.org/articles/vera-files-fact-check-reuters-did-not-call-robredo-liar-drug,https://verafiles.org/wp-content/uploads/1916/44/020222_FAKE_Leni_Reuters_quote_WEB_REV.jpg,A screenshot of a tweet that shows Reuters news agency calling out Vice President Leni Robredo for lying is making the rounds on Facebook. This two-year-old tweet is fabricated.,FAKE,“not know where [the made-up statement] came from.”,"“Reuters fairly and accurately represented the statements of Philippine vice president Leni Robredo, and we stand by our story published on 23 October,”","“We didn’t do fake news on your interview with us. We reported it as is, as you said it. You lie when you say we have misconstrued or mistranslated your statements in that interview. And, Madam, the word ‘STOP’ is SYNONYMOUS with ‘NOT TO CONTINUE.’”",,,,,,,,,,
VERA FILES FACT CHECK: Video of crowd chanting “BBM” in Robredo’s proclamation rally FAKE,2022-02-15T11:16:00+00:00,https://verafiles.org/articles/vera-files-fact-check-video-crowd-chanting-bbm-robredos-proc,https://verafiles.org/wp-content/uploads/8316/44/021122_FAKE_Robredo_proclamation_BBM_chant_WEB_copy.png,"Several netizens expressed support for Marcos Jr, but others noted that the video was edited to spread “fake news”.",FAKE,“Marcos pa rin (Still Marcos)”,“Marcos kami (We’re for Marcos)”,"“Ipasok si Dick (Let Dick in),”",,,,,,,,,,
VERA FILES FACT CHECK: Pacquiao did not suggest God is the solution to slow internet connection,2022-02-16T09:52:00+00:00,https://verafiles.org/articles/vera-files-fact-check-pacquiao-did-not-suggest-god-solution,https://verafiles.org/wp-content/uploads/6516/44/021422_FAKE_Pacquiao_on_wifi_web.png,Sanchez’ part in the fake TikTok video was lifted from her interview with Marcos on her show Rated Korina that was first aired on Feb. 5.,FAKE,“no longer boxing and [doesn’t] have big money purses.”,"“I believe that nothing is impossible with God. The God that I serve is the creator of Heaven and Earth, creator of everything. How can we doubt that?”",“Paano mo palalakasin ang wifi dito sa Pilipinas (How would you speed up the wifi [connection] here in the Philippines)?”,,,,,,,,,,
VERA FILES FACT CHECK: Imee Marcos DID NOT say she is a ‘certified insomniac’,2022-02-18T16:12:00+00:00,https://verafiles.org/articles/vera-files-fact-check-imee-marcos-did-not-say-she-certified,https://verafiles.org/wp-content/uploads/3916/45/021622_FAKE_Imee_Marcos_insomniac_WEB.png,The fabricated quote card emerged after Marcos reacted to Vice President and presidential aspirant Leni Robredo’s comment that she works an average of 18 hours daily.,FAKE,“Anyone who claims to work 18 hours a day is either lying or stupid.”,"“I am a certified insomniac. Four (4) hours of sleep is enough for me. Most of the time, I work, work and work, alam yan ng mga tiga-Ilocos Norte (people from Ilocos Norte know that).”",“four hours of sleep is enough for [her].”,,,,,,,,,,
VERA FILES FACT CHECK: Robredo DID NOT tweet she will ‘bring back Aquino gov’t’,2022-02-18T22:18:00+00:00,https://verafiles.org/articles/vera-files-fact-check-robredo-did-not-tweet-she-will-bring-b,https://verafiles.org/wp-content/uploads/3116/45/021622_FAKE_Leni_return_Aquino_govt_web.png,The tweet is counterfeit.,FAKE,“Thank you #MaDumb for reinforcing my resolve not to vote for you! #NeverAgainNoynoying.”,“She never said this. This is a complete fabrication.”,“Ibabalik ko po ang Aquino government. Kung ano ang ginawa ni PNoy noong 2010-2016 sa Pilipinas ay gagawin ko rin sa 2022-2028.”,“bring back the Aquino government”,,,,,,,,,
"VERA FILES FACT CHECK: FB groups, pages post FAKE ‘Angel Locsin, Toni Gonzaga’ Twitter exchange",2022-02-19T08:25:00+00:00,https://verafiles.org/articles/vera-files-fact-check-fb-groups-pages-post-fake-angel-locsin,https://verafiles.org/wp-content/uploads/8316/45/021622_FAKE_Angel_Toni_Twitter_exchange_WEB.png,The interaction between the two actresses never happened.,FAKE,"“Tama! May nanalo na, No to Leniii… kay BBM tayo (Correct! Someone already won, no to Leni… we’re with BBM)!”","“Huwag bumoto na may bahid na kurapsyon, sinungaling nagmamanipula ng batas, tamad, malabo at hindi makatotohanang plano sa bansa (Don’t vote for someone with a trace of corruption, a liar, manipulates laws, is lazy, unclear and has unrealistic plans for the country).”",,,,,,,,,,,
"VERA FILES FACT CHECK: FB groups, pages post FAKE ‘Angel Locsin, Toni Gonzaga’ Twitter exchange",2022-02-19T08:25:00+00:00,https://verafiles.org/articles/vera-files-fact-check-fb-groups-pages-post-fake-angel-locsin,https://verafiles.org/wp-content/uploads/8316/45/021622_FAKE_Angel_Toni_Twitter_exchange_WEB.png,The interaction between the two actresses never happened.,FAKE,"“Tama! May nanalo na, No to Leniii… kay BBM tayo (Correct! Someone already won, no to Leni… we’re with BBM)!”","“Huwag bumoto na may bahid na kurapsyon, sinungaling nagmamanipula ng batas, tamad, malabo at hindi makatotohanang plano sa bansa (Don’t vote for someone with a trace of corruption, a liar, manipulates laws, is lazy, unclear and has unrealistic plans for the country).”",,,,,,,,,,,
