label,article
1,"Inaasam-asam ng aktres na si Ina Raymundo na balang-araw ay maging isang beauty queen ang panganay na anak na si Erika. Ayon sa ulat ng PEP, pilit na pinasasali raw ni Ina si Erika sa mga beauty pageants pero ayaw ng 17-anyos na dalaga. ""Sabi ko nga, 'Erika ipagpatuloy mo 'yung Miss Universe.' Sabi niya, 'You are so obsessed.' Sobra raw ang obsession ko sa beauty pageants. Sabi ko, 'Why not?' One of my daughters to be ano (beauty queen), why not? She's 5 feet 4 inches to 5 feet 5 inches tall. Pero ayaw raw niya 'yun,"" paglalahad ng aktres. Base sa kanyang larawan na ipinost sa Instagram noong Disyembre 2018, ang pagiging isang beauty queen o ang maging Miss Universe ay isa sa mga pangarap noon ni Ina, pero kulang daw siya sa height. ""Isa sa mga pangarap ko 25 years ago. Ganito pala ang feeling,"" caption ng larawan ni Ina na nakasuot ng korona at sash ng Miss Universe. Ibinahagi rin ni Ina sa Instagram ang larawan niya noong sumali siya sa isang beauty pageant nang 16-anyos pa lamang siya. Kuwento ni Ina, mas gusto pa raw ni Erika ang unang pangarap niya para sa anak - ang maging next ""Sabado Nights Girl"" - kumpara sa pagiging beauty queen. Si Ina ay naging popular nang lumabas siya sa isang beer advertisement na may pamagat na ""Sabado Nights"" noong 1990's. Mula noon ay tumatak na sa kanya ang bansag na ""Sabado Nights Girl."" Dagdag pa ng aktres, mahilig raw kumanta si Erika at maganda ang boses. ""But she likes to sing. She has a nice voice,"" sabi pa ng celebrity mom. Malay natin...baka magbago pa ang ihip ng hangin at maging beauty rin sa future si Erika."
1,"Ayon kay dating Pangulong Noynoy Aquino, tila nagyu u-turn daw ang Duterte Administration patungo sa Martial Law Era. Ilan daw kasi sa mga panukalang ng kasalukuyang gobyerno ay nagpapaalaala sa kanya ng panahon ng yumaong Pangulo na si Ferdinand Marcos. ""Ako po medyo nagugulat sa ibang naririnig ko. Ngayon meron na naman tayong Ministry of Human Settlements... Gagawin na raw ho tayong 'Maharlika'... Tila nagbabalik 'yong mga ugali at pamamaraan na ating pong nilabanan na no'ng panahon ng kadiliman ng batas militar. Ngayon ho, kumbaga, baka na-detour tayo. Nasa sa atin na po 'yan kung itong detour na ito ay lumalim nang lumalim,"" pahayagni Noynoy sa mga dumalo sa ika-33 Anibersaryo ng EDSA People Power Revolution. Sa isang ambush interview, kinuwestiyon ni Noynoy ang naging pahayag ni Pangulong Duterte na palitan ang pangalan ng Pilipinas at gawing 'Maharlika'. ""It's not just a poor choice of words. You don't like the [name] Philippines. You're a nationalist, you say it's named after a Spanish king. OK, you can accept that. Pero to choose that particular word, and it was Marcos who was floating that idea, was that a conscious choice to indicate a preference?,"" sabi pa ni Noynoy. Ang pamilya ni dating Pangulong Noynoy aquino ay kilalang karibal ng pamilya Marcos sa larangan ng pulitika. Sa naturang pagtitipon, dinipensahan din ni Noynoy ang kanyang sarili laban sa mga batikos sa kanya tungkol sa Dengvaxia program. ""Despite medical evidence, they chose to repeat the charges by people who are not even experts in this field... The flip side of that is, should we sacrifice the welfare of the 837,000 patients over those of the 16?"" banat ni Noynoy. Inudyukan naman ni Noynoy ang publiko na huwag na raw magpaloko muli. ""This coming election, I believe this expression is apt: 'Fool me once, shame on you; fool me twice, shame on me,"" dagdag pa ng dating Pangulo. Source: INQ | INQ"
0,"Ayon kay PO1 Ronald Calpito, wala nang buhay nang natagpuan si Silvino Pabor, nasa hustong gulang, tubong Candon, Ilocos Norte, at kasalukuyang naninirahan sa Barangay Dapdap sa Paniqui."
0,"Hindi halos nabago ang line-up ng nagkampeon noong nakaraang taon, makakasagupa ng Lady Eagles, muling pangungunahan ng reigning league MVP na si Alyssa Valdez, ang Lady Bulldogs sa ganap na alas-4:00 ng hapon. Una nang nagtunggali ang dalawang koponan noong nakaraang taon sa stepladder semifinals."
0,Ito ang pansamantalang solusyon ng pamahalaang lungsod habang hindi pa nakukumpuni ang tulay ng Calumpang River na winasak ng bagyong 'Glenda' ilang buwan na ang nakalilipas.
1,"Sapul sa komentaryo ng radio host at pro-government blogger na si RJ Nieto aka Thinking Pinoy ang ginugunitang EDSA People Power Anniversary. Ang naturang okasyon ay konektado sa kasaysayan ng pamilya ni dating Pangulong Noynoy Aquino. Magugunitang nang dahil sa EDSA People Power ay napaalis sa pwesto ang mga Marcoses at naging daan para mailuklok si Cory Aquino bilang Pangulo. Pero sa Facebook post ni Thinking Pinoy, iba daw ang alam niyang People Power. Ito daw ay nangyari sa Hacienda Lusita noong 2004. Ang tinutukoy ni Thinking Pinoy ay ang massacre sa mga magsasaka sa Gate 1 ng Central Azucarera de Tarlac sugar mill. Ang mga rallyista ay nagpo-protesta para sa umento sa sahod at benepisyo. 7 katao ang namatay sa insidente at humigit-kumulang 121 ang sugatan. Ang Hacienda Luisita ay konektado sa mga Aquino. Ang post ni Thinking Pinoy ay naibahagi na ng mahigit 2,000 beses at umani narin ng libo-libong reaksyon mula sa mga netizens habang isinusulat ang artikulo na ito. Isa pa raw na People Power na alam ni Thinking Pinoy ay nangyari noong April 2016 (Noynoy Aquino's Term) sa Kidapawan. Ito naman ay tungkol sa mga kababayan natin na humihingi ng bigas pero bala ang natanggap mula sa otoridad. Basahin ang reaksyon ng ilang kababayan natin sa post ni Thinking Pinoy. ""The late Pres. Marcos held back the military and police so as not to harm civilians at EDSA. He could have bombed Camp Crame on day one, in fact His efforts and great love to the Filipinos was known by the RESULTS..."" sabi ni F. Reyna. ""Tama k tp maraming namatay sa hascienda luisita.. Mga tao nghahanap buhay pr sa kanilang pamilya.. mga body guard ng mga coujanco n ngdmit sundalo pr pgbbarilin ang mga mgsasaka"" sabi ni B. Flores. Source: ThinkingPinoy"
1,"Usap-usapan ngayon sa social media ang umano'y panggagaya ng kinatawan ng Thailand na si Ingchanok Prasart sa ginanap na Miss Intercontinental pageant 2018 sa trademark ni Miss Universe 2018 Catriona Gray na ""lava walk."" Isang netizen sa Twitter na nagngangalang Marnie Raro ang nakapansin sa paraan ng paglalakad at pag-project ni Miss Thailand na parang kinokopya ang ""lava walk"" ni Catriona. Bukod kay Miss Thailand, napansin din ng mga netizens ang pagkopya umano sa ""Mayon Volcano gown"" ni Miss Vietnam. Aminado naman ang dalawa na labis nilang hinahangaan at inspirasyon nila si Miss Universe 2018 Catriona Gray. Halo-halo naman ang naging reaksyon ng mga netizens hinggil dito. ""So now everyone looks like Catriona Gray. From hair to stance to gowns. The influence. Only legends do that."" ""Catriona Gray's walk can never be perfect without her walking it."" ""I think so? Even the hand gesture of Miss Thailand seems copied too. Catriona Gray is indeed a queen."" ""Yet they can't copy the original. Because there will be only one Lava Walk and Catriona Gray."" ""Kayo na 'yung may mga originality... hala gawa kayo sarili niyong pageant, ano ba naman yung hayaan niyo na lang sila hays....daming toxic."" Isang patunay lamang ito na maraming mga aspiring beauty pageant candidates, hindi lamang sa Pilipinas kundi maging sa buong mundo, ang tumitingala at humahanga kay Catriona. Aminado naman dito ang marami sa mga kandidata ng naturang katatapos na pageant. Ang 47th edition ng Miss Intercontinental 2018 ay ginanap noong Enero 26, 2019, sa SM Mall of Asia Arena sa Pasay, Metro Manila, Philippines. Kinoronahan ni Miss Intercontinental 2017 Veronica Salas Vallejo ng Mexico ang kandidata ng Pilipinas na si Karen Juanita Gallman. Ito ang kauna-unahang pagkakataong naging host ang Pilipinas sa pageant na ito. Pinili ng Japan organizers ang Pilipinas na maging venue ng pageant dahil abala ang bansang Japan sa mga paghahanda para sa 2020 Summer Olympics. Narito ang buong Twitter post ng netizen:"
1,"Kaawa-awa ang sinapit ng isang-taong sanggol matapos itong maputulan ng ulo habang nakasakay sa motorsiklo. Ayon sa ulat, minamaneho ng lola ng sanggol ang sasakyan habang tanga-tangan naman ito ng isang babae nang biglang sumabit ang telang nakabalot sa ulo ng sanggol sa gulong ng motorsiklo. Nangyari ang insidente sa Northern Samar. Mahaharap sa kasong reckless imprudence resulting to homicide ang babae at ang lola ng sanggol. Base sa datos ng Department of Healt, anim sa bawat sampung namamatay sa mga road crash ay mga naka-motorsiklo. Ayon naman sa impormasyon mula sa Philippine Statitics Authority, mula 2006-2015 ay may mahigit 600 na bata ang namamatay kada taon. Sa isang forum, binanggit ng opisyal ng Land Transportation Office na balak na umano nilang ihiwalay ang pagsusulit para sa mga motorcycle rider pag kukuha ng exam para sa driver's license. ""Specific to the restriction code you are applying for. Let's say for example, your restriction code is 1, So, all of the questions will be for motorcycles,""sabi ni LTO Field Enforcement Division Robert Valera Ito po ang ilan sa mga reaksyon ng mga kababayan natin. Source: ABC-CBN"
0,"""Since there is very little time for a full recovery and training, my appearance at the Australian Open is unfortunately under a big question mark. ""I have not cancelled my appearance in Melbourne. I will leave it for another seven to eight days to see how the situation will develop."" Iniulat ng Croatian media kamakalawa na kinansela ng world number nine na si Cilic ang kanyang partisipasyon sa Australian Open dahil sa nasabing injury na kanyang natamo ilang buwan na ang nakararaan ngunit mas grumabe noong nagdaang buwan."
0,"Ayon sa tagapagsalita ng pamilya Revilla na si Atty. Raymond Fortun, delikadong manatili si Jolo sa ICU sapagkat mahina ang pangangatawan nito na maaaring makuha ang iba't ibang mikrobyo sa pasilidad. Paliwanag ng abogado, nakuha ni Jolo ang kumplikasyon sa pneumonia sa ibang bahagi ng kaliwang baga at nagkaroon pa ng hangin sa bandang itaas nito. Patuloy naman itong minomonitor ang kalagayan ni Jolo ng mga doktor, partikular ang acute abdominal distension o paglaki ng tiyan ng bise gobernador. Aniya, Martes ng gabi sumailalim sa ikatlong CT scan ang vice governor at iniulat na bumubuti na ang kondisyon nito batay sa resulta ng mga medical test. Noong Sabado, dinala sa ICU si Jolo matapos aksidente umanong mabaril ang kanang dibdib habang nililinis ang kanyang .40 caliber Glock pistol sa kanilang bahay sa Ayala Alabang Village sa Muntinlupa City."
0,"Kung paniniwalaan ang isang survey na ikinomisyon ng isang pahayagang English, 48% ang sinisisi si PNoy sa pagkamatay ng 44 SAF commando samantalang 52% ang sumisisi kay Purisima. Anim sa 10 Pinoy na tinanong ang walang tiwala ngayon sa Aquino administration kasunod ng Mamasapano massacre. Totoo ba ang mga ulat na ang dalang mga granada (M203) ng SAF men ay pawang supot o hindi sumabog sa kaigtingan ng sagupaan? Ayon kay PNP Supt. Raymund Train, intel officer ng SAF na namuno sa pagsalakay sa kuta ni Zulkfli bin Hir, hindi pumutok ang mga granada upang mapigilan ang mga kalaban. Nag-text sa akin si veteran defense reporter Ben Cal ng PNA upang ipaalam kung paano umaksiyon si FVR sa mga krisis na katulad ng Mamasapano. Noong Abril 3, 1995, sinunog ng Abu Sayyaf ang public market ng Ipil, Zamboanga ng 2am. Dumating si FVR sa Ipil at ininspeksiyon ang eksena dakong 7:30am. Tinanong niya kung nasaan si Southcom chief Lt. Gen. Regino Lacson. Ang sabi ay nasa Davao City raw. Ano ang ginagawa niya sa Davao, tanong ni FVR. Agad ni-relieve ni FVR si Lacson at itinalaga si Lt. Gen. Eduardo Batenga bilang bagong Southcom chief, at inatasang magsagawa ng hot pursuit laban sa ASG. Sa 200 ASG na nanunog at nagnakaw sa mga bangko, lahat ay napatay maliban sa 20 bandido. Ganyan si FVR, sabi ni Ben Cal."
1,"Itinanggi ni Vice President Leni Robredo ang mga alegasyon na ang Liberal Party (LP) ang nasa likod ng mga lumalabas na propaganda video na nagsasangkot sa iligal na droga sa mga pamilya at kaalyado ni Pangulong Rodrigo Duterte. Ayon kay Robredo, sigurado umano siya na hindi sila ang may pakana ng mga video ni alyas Bikoy na may pamagat na ""Ang Totoong Narco List"" dahil siya mismo ay hindi pa nakikita ang naturang videos. ""Kasi ako, sigurado ako, hindi kami. Ako nga, hanggang ngayon, hindi ko pa nakikita iyong lahat na videos,"" ani Robredo. Nalulungkot umano ni Robredo na lahat ng negatibong bagay na ipinupukol sa administrasyon ay ang LP at mga tagasuporta nito na tinatawag na ""dilawan"" ang napagbibintangan. ""From Day 1 -- 2016 -- every time may negative na sasabihin sa pamahalaan, para kaming whipping boy... parang whipping boy iyong mga dilawan,"" ani Robredo. ""Medyo nakakatawang kaunti kasi alam naman natin na after the presidential elections, nagkaroon ng exodus. Iyong mga kasama namin, halos lahat, kaunting-kaunti na lang iyong natitira, nasa administration party na. So kapag sinasabing iyong dilawan iyong behind this, sino?"" dagdag ni Robredo. Mababatid naging viral sa social media ang ""Ang Totoong Narco List"" kung saan isinangkot sa kalakaran ng iligal na droga sa bansa sina presidential son Paolo Duterte, presidential daughter Veronica ""Kitty"" Duterte, senatorial candidate Bong Go at maging ang common-law wife ng Pangulo na si Honeylet Avancena."
1,"Hindi lang umento sa sahod ang ipinagkaloob ng pamahalaan ni Pangulong Rodrigo Duterte, pati mga dekalibreng bahay ay ipinamahagi sa mga magigiting nating sundalo't pulis na sumabak sa Marawi City para labanan ang mga Maute Brothers. Sa kanyang talumpati sa San Jose, Bulacan, kinilala ng Presidente ang hirap at sakripisyo ng pwersa ng gobyerno. Umabot sa 100 bahay ang ipinamigay sa mga tropa ng pamahalaan. Ayon sa ulat ng People's Television Network (PTV), dekalidad ang pagkakagawa sa mga bahay at may desenyong mala-condominium. Ang isang unit ay 24 square meters ang laki pero nilinaw ng mga arkitekto nito na dalawang units ang ibinahagi sa bawat isang awardee na sundalo't pulis. Mayroon din livelihood center ang lugar. Matatagpuan din ang isang covered court sa pabahay. Ang pabahay ay bahagi ng comprehensive social benefits program ng gobyerno. Sa taong 2019, 13 housing projects ang balak itayo ng pamahalaan para sa mga tropa ng gobyerno. ""This housing units that we turn over today to the desreving recipients. It is testament to this administration's resolve to provide our uniformed personnel, and their families, not only just and decent shelter, but also a home where they can build their dreams for brighter future,"" sabi ni Presidente Duterte. Ipinangako naman ng National Housing Authority (NHA) na magiging tuloy-tuloy ang paggawa nila ng magandang pabahay. ""The one hundred units may not be enough for everyone, but NHA will continue to construct decent housing for everyone. Something that is near, something that it beautiful and good, and something that is spacious,"" pahayag ni NHA General Manager Marcelino Escalda Jr. Ikinatuwa naman ng ilang kababayan natin ang pag-aalaga ng kasalukuyang gobyerno sa mga sundalo at pulis. "" Kung ganito lang sana ibinabalita ang mga magagandang pangyayari Sa pilipinas Sa araw araw at hinde kasinungaligan maraming pilipino ang magigising Sa mahimbing na pag kakatulog napaka ayos ng gobyerno ngayon sa kasalukuyan."" - M. Yosa ""atay digong ung mga polobi po sa lansangan bigyan nyo din ng chance para wala ng polobi sa daan makikita, taas din ang mga sahod sa provnce damihan ng trabaho para hinde na mag siksikan sa manila ned tlga Federalismo."" C. TIbong ""They deserved that good job PRRD and PTV for showing this in public:)"" - M. Waker ""DESERVING NAMAN PO SILA..RISKY ANG TRABAHO NG MGA SUNDALOT PULIS..HINDI MO ALAM KUNG BUKAS E BUHAY PA SILA. DUTERTE GIVES IMPORTANCE SA MGA SUNDALOT PULIS PERO.MERON PADING HAYOP SALOT AT ANAY SA KANILA"" - L. DM Source: PTV"
0,"(Ito ang inihanda kong acceptance speech sa Natatanging Gawad Tanglaw sa Sining ng Panulat na ipinagkaloob sa akin nitong nakaraang Huwebes na sa sobrang nerbiyos ay hindi ko nabasa pero nairaos pa rin naman mula sa memorya kahit papaano. Inilalabas ko ito kasabay ang mula sa pusong pasasalamat sa Liwayway, Balita at Manila Bulletin na humubog sa akin bilang manunulat.) HINDI ako deserving sa parangal na ito. Napakabata ko pa para bigyan ng lifetime achievement award sa sining ng panulat. Kaya ang sabi ko kay Dr. Romeo Flaviano I. Lirio, ang Chairman Emeritus nitong Gawad Tanglaw, tatanggihan ko ito."
0,"""We are saddened by this horrific event that has once again cast Muslims as rampaging over-zealous demagogues, belying the fact that a vast majority are peaceful, law-abiding members of their respective communities. ""While many would take offense at the satirical lampooning characteristic of the Charles Hebdo magazine, no one could countenance the brutal massacre in Paris last Wednesday. Such violent intolerance contravenes the precepts of Islam, which values the sanctity of human life,"" diin ng PCID sa kanilang pahayag. ""There are other venues to vent our vehement disgust or raging fury over the pointed mockery of our beliefs or the cavalier treatment of our spiritual icons. We no longer take umbrage through the strength of our fists and the edge of our swords."
0,"Sobra akong nababahala sa kanyang pinagdadaanan ngayon. Mas ikinalulungkot ko pa na wala akong magawa bilang ama para maibsan ito o kahit masamahan man lang siya nang walang limitasyon sa pagsubok niyang ito. Higit po sa paglingon sa mga nangyari o pagbunton ng sisi kanino man, naniniwala akong ang higit na mahalaga ay makapiling ko kahit sandali si Jolo na sa sitwasyong sinumang mga magulang ay hindi nanaisin. Kaya po lubos ang aking pasasalamat na kahit sa maikling sandali ay pinayagan akong masilayan siya. Patuloy po kaming nanalangin at nagpapasalamat sa bumubuting kondisyon ng aking anak. Ako ay naniniwala na ang lahat ng ito ay bahagi lamang ng pagsubok sa aming pamilya upang kami ay mas lalo pang maging matibay sa pangalan ng Panginoon. Muli, ay akin pong hinihingi ang inyong patuloy na panalangin upang mas mapabuti pa ang kalagayan ni Jolo."
